# Input file for fr-burgers-turbulent.py program
N                  160 # Number of mesh points
NREF                 0 # Number of refinement levels of the mesh
P                    3 # Polynomial degree for FR scheme, which is the degree of the lagrange polynomial
VISC          0.000080 # Viscosity
INISOL       TURBULENT # Initial solution type: SINE,GAUSSIAN,SQUARE,TURBULENT
DT            0.000050 # Time step
TSIM          0.500000 # Maximum number of iterations
NDUMP               10 # Interval of iterations to dump a solution
# --- LES Parameters ---
USE_LES                    TRUE
SGS_MODEL_TYPE  smagorinsky_dynamic
SGS_FILTER_RATIO            2.00
SGS_AVG_TYPE             global
SGS_CS_MIN               0.0100

BEGIN_SOLUTION
7.844251999858489e-01 1.004399357448936e+00
7.861635220125787e-01 1.002462428257771e+00
7.861635220125787e-01 1.002288836377077e+00
7.879018440393084e-01 1.001889685290418e+00
7.907145081619495e-01 1.001270978290518e+00
7.924528301886793e-01 1.000119828607301e+00
7.924528301886793e-01 1.000349220384313e+00
7.941911522154090e-01 9.990680819852269e-01
7.970038163380502e-01 1.000561735159202e+00
7.987421383647799e-01 1.002100477951845e+00
7.987421383647799e-01 1.002121603058906e+00
8.004804603915097e-01 1.002159863069236e+00
8.032931245141508e-01 1.000006970459238e+00
8.050314465408805e-01 9.995704725968338e-01
8.050314465408805e-01 9.992946793291808e-01
8.067697685676103e-01 1.000653770651067e+00
8.095824326902514e-01 1.001369854480151e+00
8.113207547169812e-01 1.000603746310150e+00
8.113207547169812e-01 1.000707083814671e+00
8.130590767437109e-01 1.000164994639659e+00
8.158717408663521e-01 1.002371026407677e+00
8.176100628930818e-01 1.004563134799809e+00
8.176100628930818e-01 1.004605294742904e+00
8.193483849198115e-01 1.006520218982238e+00
8.221610490424527e-01 1.009091083027233e+00
8.238993710691824e-01 1.009784918566176e+00
8.238993710691824e-01 1.009865313536421e+00
8.256376930959122e-01 1.009338026851751e+00
8.284503572185533e-01 1.007694870971703e+00
8.301886792452831e-01 1.006930364799970e+00
8.301886792452831e-01 1.006829212030496e+00
8.319270012720128e-01 1.006296331054589e+00
8.347396653946539e-01 1.004222707524719e+00
8.364779874213837e-01 1.002786217116696e+00
8.364779874213837e-01 1.002838559364895e+00
8.382163094481134e-01 1.002089687373962e+00
8.410289735707546e-01 1.002614195897441e+00
8.427672955974843e-01 1.002632122126176e+00
8.427672955974843e-01 1.002670359003605e+00
8.445056176242141e-01 1.001418132775225e+00
8.473182817468552e-01 9.981995082238414e-01
8.490566037735849e-01 9.968966884381829e-01
8.490566037735849e-01 9.969205580768121e-01
8.507949258003147e-01 9.967687555656699e-01
8.536075899229558e-01 9.986658819028605e-01
8.553459119496856e-01 1.000649188858064e+00
8.553459119496856e-01 1.000590704622459e+00
8.570842339764153e-01 1.002653808578887e+00
8.598968980990565e-01 1.005047282606343e+00
8.616352201257862e-01 1.006531921139419e+00
8.616352201257862e-01 1.006537305492251e+00
8.633735421525159e-01 1.008571520953672e+00
8.661862062751571e-01 1.012116912754183e+00
8.679245283018868e-01 1.013169140306657e+00
8.679245283018868e-01 1.013226185474438e+00
8.696628503286166e-01 1.012587485086980e+00
8.724755144512577e-01 1.009745351500085e+00
8.742138364779874e-01 1.008035059312379e+00
8.742138364779874e-01 1.008020153579064e+00
8.759521585047172e-01 1.006789543498062e+00
8.787648226273583e-01 1.004902855625751e+00
8.805031446540881e-01 1.003272434105515e+00
8.805031446540881e-01 1.003392882861744e+00
8.822414666808178e-01 1.001141185599827e+00
8.850541308034590e-01 9.989273379463049e-01
