# Input file for fr-burgers-turbulent.py program
N                  160 # Number of mesh points
NREF                 0 # Number of refinement levels of the mesh
P                    3 # Polynomial degree for FR scheme, which is the degree of the lagrange polynomial
VISC          0.000080 # Viscosity
INISOL       TURBULENT # Initial solution type: SINE,GAUSSIAN,SQUARE,TURBULENT
DT            0.000050 # Time step
TSIM          0.500000 # Maximum number of iterations
NDUMP               10 # Interval of iterations to dump a solution
# --- LES Parameters ---
USE_LES                   FALSE

BEGIN_SOLUTION
4.888277157091194e-01 9.934043939192486e-01
4.905660377358491e-01 9.930169851752093e-01
4.905660377358491e-01 9.930224609546580e-01
4.923043597625787e-01 9.927917863093159e-01
4.951170238852200e-01 9.928257122226112e-01
4.968553459119497e-01 9.930259636647205e-01
4.968553459119497e-01 9.930218408786431e-01
4.985936679386794e-01 9.932911812035528e-01
5.014063320613206e-01 9.937933114986435e-01
5.031446540880503e-01 9.941827045737155e-01
5.031446540880503e-01 9.941864585724108e-01
5.048829761147801e-01 9.946754296465484e-01
5.076956402374212e-01 9.957330716198894e-01
5.094339622641509e-01 9.965234508593984e-01
5.094339622641509e-01 9.965280858582236e-01
5.111722842908807e-01 9.973803266029030e-01
5.139849484135218e-01 9.987606089333707e-01
5.157232704402516e-01 9.994363660383712e-01
5.157232704402516e-01 9.994151178638047e-01
5.174615924669813e-01 9.998207453918029e-01
5.202742565896225e-01 9.996534378526382e-01
5.220125786163522e-01 9.992448074292319e-01
5.220125786163522e-01 9.992650374892219e-01
5.237509006430819e-01 9.988562467015396e-01
5.265635647657231e-01 9.987622136773380e-01
5.283018867924528e-01 9.990811830433259e-01
5.283018867924528e-01 9.990793059247330e-01
5.300402088191826e-01 9.996166391206281e-01
5.328528729418237e-01 1.000687557825991e+00
5.345911949685535e-01 1.001326160940661e+00
5.345911949685535e-01 1.001310378566173e+00
5.363295169952832e-01 1.001840852851645e+00
5.391421811179243e-01 1.002287032111319e+00
5.408805031446541e-01 1.002445109655191e+00
5.408805031446541e-01 1.002462164114953e+00
5.426188251713838e-01 1.002699798471684e+00
5.454314892940250e-01 1.003789632869435e+00
5.471698113207547e-01 1.005001764900191e+00
5.471698113207547e-01 1.005011750328223e+00
5.489081333474845e-01 1.006614950428127e+00
5.517207974701256e-01 1.009862213609512e+00
5.534591194968553e-01 1.012008312599062e+00
5.534591194968553e-01 1.011977821608078e+00
5.551974415235851e-01 1.013996270459047e+00
5.580101056462262e-01 1.016076426864468e+00
5.597484276729560e-01 1.016403098450711e+00
5.597484276729560e-01 1.016422503504392e+00
5.614867496996857e-01 1.016018031470335e+00
5.642994138223268e-01 1.014698302823331e+00
5.660377358490566e-01 1.013902468276959e+00
5.660377358490566e-01 1.013900101948544e+00
5.677760578757863e-01 1.013315288868607e+00
5.705887219984275e-01 1.012669573458985e+00
5.723270440251572e-01 1.012322474581036e+00
5.723270440251572e-01 1.012318090480288e+00
5.740653660518870e-01 1.011933432839488e+00
5.768780301745281e-01 1.011158947622058e+00
5.786163522012578e-01 1.010619621297923e+00
5.786163522012578e-01 1.010622645749088e+00
5.803546742279876e-01 1.010079349069100e+00
5.831673383506287e-01 1.009209159716667e+00
5.849056603773585e-01 1.008593645794133e+00
5.849056603773585e-01 1.008594681152461e+00
5.866439824040882e-01 1.007860790270888e+00
5.894566465267294e-01 1.006622452676809e+00
5.911949685534591e-01 1.006044735777787e+00
5.911949685534591e-01 1.006046348742675e+00
5.929332905801888e-01 1.005738563037143e+00
5.957459547028300e-01 1.005647369014053e+00
5.974842767295597e-01 1.005606817655811e+00
5.974842767295597e-01 1.005601674118108e+00
5.992225987562895e-01 1.005417242225619e+00
6.020352628789307e-01 1.004783527857888e+00
6.037735849056605e-01 1.004318329688512e+00
6.037735849056605e-01 1.004319876743686e+00
6.055119069323902e-01 1.003903292547620e+00
6.083245710550313e-01 1.003363542761723e+00
6.100628930817611e-01 1.003061144969581e+00
6.100628930817611e-01 1.003062596015672e+00
6.118012151084908e-01 1.002748557516707e+00
6.146138792311320e-01 1.002180019799019e+00
6.163522012578617e-01 1.001728985766571e+00
6.163522012578617e-01 1.001725468209087e+00
6.180905232845915e-01 1.001158573827083e+00
6.209031874072326e-01 1.000141571413298e+00
6.226415094339623e-01 9.996870086854767e-01
6.226415094339623e-01 9.996999163514563e-01
6.243798314606921e-01 9.995369119071138e-01
6.271924955833332e-01 9.999913344707000e-01
6.289308176100630e-01 1.000525741450612e+00
6.289308176100630e-01 1.000510323745002e+00
6.306691396367927e-01 1.001051057578994e+00
6.334818037594339e-01 1.001384857861144e+00
6.352201257861636e-01 1.001097760823342e+00
6.352201257861636e-01 1.001098740113059e+00
6.369584478128933e-01 1.000405156138429e+00
6.397711119355345e-01 9.987389756960592e-01
6.415094339622642e-01 9.976415772639401e-01
6.415094339622642e-01 9.976594717246149e-01
6.432477559889940e-01 9.966768521798753e-01
6.460604201116351e-01 9.955400880960907e-01
6.477987421383649e-01 9.949295686251181e-01
6.477987421383649e-01 9.948850363655847e-01
6.495370641650946e-01 9.941526836234817e-01
6.523497282877357e-01 9.920337649860126e-01
6.540880503144655e-01 9.903899581381476e-01
6.540880503144655e-01 9.904448445316955e-01
6.558263723411952e-01 9.889161961116478e-01
6.586390364638364e-01 9.880302322561132e-01
6.603773584905661e-01 9.884946536918833e-01
6.603773584905661e-01 9.884590238038592e-01
6.621156805172959e-01 9.894774566507520e-01
6.649283446399370e-01 9.912705468463202e-01
6.666666666666667e-01 9.923401215272674e-01
6.666666666666667e-01 9.923715229644220e-01
6.684049886933965e-01 9.934626343182877e-01
6.712176528160376e-01 9.958260947954451e-01
6.729559748427674e-01 9.975657078600769e-01
6.729559748427674e-01 9.975346831438866e-01
6.746942968694971e-01 9.992793913094926e-01
6.775069609921383e-01 1.001078378323411e+00
6.792452830188680e-01 1.001259199283550e+00
6.792452830188680e-01 1.001266260963914e+00
6.809836050455977e-01 1.000690501386836e+00
6.837962691682389e-01 9.988701218765150e-01
6.855345911949686e-01 9.976955831502307e-01
6.855345911949686e-01 9.977007447750798e-01
6.872729132216984e-01 9.967971872831134e-01
6.900855773443395e-01 9.961889059653875e-01
6.918238993710693e-01 9.964057695406684e-01
6.918238993710693e-01 9.964230525592968e-01
6.935622213977990e-01 9.971004506667259e-01
6.963748855204401e-01 9.990680635918205e-01
6.981132075471699e-01 1.000432321433744e+00
6.981132075471699e-01 1.000396630698414e+00
6.998515295738996e-01 1.001535800890354e+00
7.026641936965408e-01 1.002092453792079e+00
7.044025157232705e-01 1.001684590599953e+00
7.044025157232705e-01 1.001709051511394e+00
7.061408377500002e-01 1.000915304464853e+00
7.089535018726414e-01 9.995988072155330e-01
7.106918238993711e-01 9.989103546685433e-01
7.106918238993711e-01 9.988995578182766e-01
7.124301459261009e-01 9.983045444190084e-01
7.152428100487420e-01 9.973513346163888e-01
7.169811320754718e-01 9.968298188334809e-01
7.169811320754718e-01 9.968278516542011e-01
7.187194541022015e-01 9.964479916529593e-01
7.215321182248426e-01 9.961263564700755e-01
7.232704402515724e-01 9.960452487845748e-01
7.232704402515724e-01 9.960648661428567e-01
7.250087622783021e-01 9.960565596849248e-01
7.278214264009433e-01 9.968070774576582e-01
7.295597484276730e-01 9.980144638230817e-01
7.295597484276730e-01 9.980125521990405e-01
