# Input file for fr-burgers-turbulent.py program
N                  160 # Number of mesh points
NREF                 0 # Number of refinement levels of the mesh
P                    3 # Polynomial degree for FR scheme, which is the degree of the lagrange polynomial
VISC          0.000080 # Viscosity
INISOL       TURBULENT # Initial solution type: SINE,GAUSSIAN,SQUARE,TURBULENT
DT            0.000050 # Time step
TSIM          0.500000 # Maximum number of iterations
NDUMP               10 # Interval of iterations to dump a solution
# --- LES Parameters ---
USE_LES                   FALSE

BEGIN_SOLUTION
4.762490993569181e-01 9.934388835284238e-01
4.779874213836478e-01 9.937416174618190e-01
4.779874213836478e-01 9.937416847281136e-01
4.797257434103775e-01 9.940397571435715e-01
4.825384075330187e-01 9.945059555523075e-01
4.842767295597484e-01 9.947778351242891e-01
4.842767295597484e-01 9.947770848282588e-01
4.860150515864781e-01 9.950322162878040e-01
4.888277157091194e-01 9.953982341444010e-01
4.905660377358491e-01 9.955983697575693e-01
4.905660377358491e-01 9.955981357695927e-01
4.923043597625787e-01 9.957850283579439e-01
4.951170238852200e-01 9.960877343637183e-01
4.968553459119497e-01 9.962991681321971e-01
4.968553459119497e-01 9.963001763384628e-01
4.985936679386794e-01 9.965486178263742e-01
5.014063320613206e-01 9.970705184112273e-01
5.031446540880503e-01 9.974795407290328e-01
5.031446540880503e-01 9.974801068095468e-01
5.048829761147801e-01 9.979585663804529e-01
5.076956402374212e-01 9.988716219330709e-01
5.094339622641509e-01 9.995060145961361e-01
5.094339622641509e-01 9.995055788280771e-01
5.111722842908807e-01 1.000179187276799e+00
5.139849484135218e-01 1.001315183039896e+00
5.157232704402516e-01 1.002027581354940e+00
5.157232704402516e-01 1.002027065989259e+00
5.174615924669813e-01 1.002736496105025e+00
5.202742565896225e-01 1.003862483786037e+00
5.220125786163522e-01 1.004543840547488e+00
5.220125786163522e-01 1.004544111141859e+00
5.237509006430819e-01 1.005216015059176e+00
5.265635647657231e-01 1.006294574758514e+00
5.283018867924528e-01 1.006961033626187e+00
5.283018867924528e-01 1.006961785208887e+00
5.300402088191826e-01 1.007629831252024e+00
5.328528729418237e-01 1.008714208260968e+00
5.345911949685535e-01 1.009376029995769e+00
5.345911949685535e-01 1.009376537040422e+00
5.363295169952832e-01 1.010019496861319e+00
5.391421811179243e-01 1.010983898917959e+00
5.408805031446541e-01 1.011501947286016e+00
5.408805031446541e-01 1.011501438337604e+00
5.426188251713838e-01 1.011933774740170e+00
5.454314892940250e-01 1.012385223475432e+00
5.471698113207547e-01 1.012472650452282e+00
5.471698113207547e-01 1.012470044660165e+00
5.489081333474845e-01 1.012387073968101e+00
5.517207974701256e-01 1.011840237450791e+00
5.534591194968553e-01 1.011249599340895e+00
5.534591194968553e-01 1.011248369516174e+00
5.551974415235851e-01 1.010482327708778e+00
5.580101056462262e-01 1.008956781555586e+00
5.597484276729560e-01 1.007918854416139e+00
5.597484276729560e-01 1.007922150739891e+00
5.614867496996857e-01 1.006876517226204e+00
5.642994138223268e-01 1.005320327480543e+00
5.660377358490566e-01 1.004493596181143e+00
5.660377358490566e-01 1.004495398749802e+00
5.677760578757863e-01 1.003791354923116e+00
5.705887219984275e-01 1.002903821233625e+00
5.723270440251572e-01 1.002471938688059e+00
5.723270440251572e-01 1.002470863530657e+00
5.740653660518870e-01 1.002090396966939e+00
5.768780301745281e-01 1.001481303077862e+00
5.786163522012578e-01 1.001054913046170e+00
5.786163522012578e-01 1.001052346764313e+00
5.803546742279876e-01 1.000555024975087e+00
5.831673383506287e-01 9.995437542712746e-01
5.849056603773585e-01 9.987937022044383e-01
5.849056603773585e-01 9.987935829339994e-01
5.866439824040882e-01 9.979640907621515e-01
5.894566465267294e-01 9.965311735466083e-01
5.911949685534591e-01 9.956486552271654e-01
5.911949685534591e-01 9.956509619292941e-01
5.929332905801888e-01 9.948134330626744e-01
5.957459547028300e-01 9.936380231210649e-01
5.974842767295597e-01 9.930413315556889e-01
5.974842767295597e-01 9.930416939002797e-01
5.992225987562895e-01 9.925459314639755e-01
6.020352628789307e-01 9.919290599093155e-01
6.037735849056605e-01 9.916340344636084e-01
6.037735849056605e-01 9.916332078274416e-01
6.055119069323902e-01 9.913818774696286e-01
6.083245710550313e-01 9.910205645343725e-01
6.100628930817611e-01 9.908075895566790e-01
6.100628930817611e-01 9.908072545502359e-01
6.118012151084908e-01 9.905932603712032e-01
6.146138792311320e-01 9.902369239185158e-01
6.163522012578617e-01 9.900118770871305e-01
6.163522012578617e-01 9.900118876653320e-01
6.180905232845915e-01 9.897857664827936e-01
6.209031874072326e-01 9.894253681471352e-01
6.226415094339623e-01 9.892107565945129e-01
6.226415094339623e-01 9.892106362463260e-01
6.243798314606921e-01 9.890059004338183e-01
6.271924955833332e-01 9.887024594762318e-01
6.289308176100630e-01 9.885377859463805e-01
6.289308176100630e-01 9.885376447572328e-01
6.306691396367927e-01 9.883956133410545e-01
6.334818037594339e-01 9.882268786407080e-01
6.352201257861636e-01 9.881709638044951e-01
6.352201257861636e-01 9.881711709206847e-01
6.369584478128933e-01 9.881608953366008e-01
6.397711119355345e-01 9.882622658374816e-01
6.415094339622642e-01 9.884089850677819e-01
6.415094339622642e-01 9.884093781437989e-01
6.432477559889940e-01 9.886272660750653e-01
6.460604201116351e-01 9.891422361579171e-01
6.477987421383649e-01 9.895622318936615e-01
6.477987421383649e-01 9.895623799850282e-01
6.495370641650946e-01 9.900589365443897e-01
6.523497282877357e-01 9.910172990864917e-01
6.540880503144655e-01 9.916981701702370e-01
6.540880503144655e-01 9.916982589798404e-01
6.558263723411952e-01 9.924405892188123e-01
6.586390364638364e-01 9.937584416025561e-01
6.603773584905661e-01 9.946359036979016e-01
6.603773584905661e-01 9.946362658645275e-01
6.621156805172959e-01 9.955541113108715e-01
6.649283446399370e-01 9.971087945206406e-01
6.666666666666667e-01 9.980984105278928e-01
6.666666666666667e-01 9.980989779308325e-01
6.684049886933965e-01 9.990972775251399e-01
6.712176528160376e-01 1.000699150406966e+00
6.729559748427674e-01 1.001653084276479e+00
6.729559748427674e-01 1.001653276113826e+00
6.746942968694971e-01 1.002555097980446e+00
6.775069609921383e-01 1.003842514758109e+00
6.792452830188680e-01 1.004488585328541e+00
6.792452830188680e-01 1.004486908545312e+00
6.809836050455977e-01 1.004985785635292e+00
6.837962691682389e-01 1.005399466826286e+00
6.855345911949686e-01 1.005379191935458e+00
6.855345911949686e-01 1.005375893420653e+00
6.872729132216984e-01 1.005132365259810e+00
